dataset,shots,rep,method,accuracy
Digits,5,43,Nearest centroid,0.864
Digits,5,43,Ridge,0.684
Digits,5,43,Shrinkage LDA,0.856
Digits,5,44,L-2DLDA+,0.842
Digits,5,44,DATER-reg,0.852
Digits,5,44,MPCA,0.85
Digits,5,44,2DLDA,0.85
Digits,5,44,Nearest centroid,0.85
Digits,5,44,Ridge,0.67
Digits,5,44,Shrinkage LDA,0.838
Digits,5,45,L-2DLDA+,0.868
Digits,5,45,DATER-reg,0.878
Digits,5,45,MPCA,0.878
Digits,5,45,2DLDA,0.878
Digits,5,45,Nearest centroid,0.878
Digits,5,45,Ridge,0.696
Digits,5,45,Shrinkage LDA,0.844
Digits,5,46,L-2DLDA+,0.814
Digits,5,46,DATER-reg,0.82
Digits,5,46,MPCA,0.818
Digits,5,46,2DLDA,0.818
Digits,5,46,Nearest centroid,0.818
Digits,5,46,Ridge,0.648
Digits,5,46,Shrinkage LDA,0.79
Digits,5,47,L-2DLDA+,0.844
Digits,5,47,DATER-reg,0.836
Digits,5,47,MPCA,0.84
Digits,5,47,2DLDA,0.84
Digits,5,47,Nearest centroid,0.84
Digits,5,47,Ridge,0.7
Digits,5,47,Shrinkage LDA,0.786
Digits,5,48,L-2DLDA+,0.774
Digits,5,48,DATER-reg,0.784
Digits,5,48,MPCA,0.778
Digits,5,48,2DLDA,0.778
Digits,5,48,Nearest centroid,0.778
Digits,5,48,Ridge,0.706
Digits,5,48,Shrinkage LDA,0.84
Digits,5,49,L-2DLDA+,0.846
Digits,5,49,DATER-reg,0.848
Digits,5,49,MPCA,0.84
Digits,5,49,2DLDA,0.84
Digits,5,49,Nearest centroid,0.84
Digits,5,49,Ridge,0.71
Digits,5,49,Shrinkage LDA,0.816
USPS,3,0,L-2DLDA+,0.732
USPS,3,0,DATER-reg,0.7
USPS,3,0,MPCA,0.71
USPS,3,0,2DLDA,0.71
USPS,3,0,Nearest centroid,0.71
USPS,3,0,Ridge,0.558
USPS,3,0,Shrinkage LDA,0.67
USPS,3,1,L-2DLDA+,0.718
USPS,3,1,DATER-reg,0.716
USPS,3,1,MPCA,0.712
USPS,3,1,2DLDA,0.712
USPS,3,1,Nearest centroid,0.712
USPS,3,1,Ridge,0.674
USPS,3,1,Shrinkage LDA,0.728
USPS,3,2,L-2DLDA+,0.774
USPS,3,2,DATER-reg,0.774
USPS,3,2,MPCA,0.772
USPS,3,2,2DLDA,0.772
USPS,3,2,Nearest centroid,0.772
USPS,3,2,Ridge,0.632
USPS,3,2,Shrinkage LDA,0.728
USPS,3,3,L-2DLDA+,0.71
USPS,3,3,DATER-reg,0.708
USPS,3,3,MPCA,0.7
USPS,3,3,2DLDA,0.7
USPS,3,3,Nearest centroid,0.7
USPS,3,3,Ridge,0.586
